//==================================================================================================================================================================================================================
// General Drops
//==================================================================================================================================================================================================================
//Index   Level   Grade   Option0   Option1   Option2   Option3   Option4   Option5   Option6   Duration   MapNumber   MonsterClass   MonsterLevelMin   MonsterLevelMax   DropRate   Comment
7179      3       0       *         *         *         *         *         *         *         0          *           *              12                69                7000       //Heart of Love
7179      5       0       *         *         *         *         *         *         *         0          *           *              12                69                6000       //Silver Medal
7179      6       0       *         *         *         *         *         *         *         0          *           *              24                69                5000       //Gold Medal
//--
6159      0       0       *         *         *         *         *         *         *         0          *           *              12                *                 3000       //Jewel of Chaos
7181      0       0       *         *         *         *         *         *         *         0          *           *              25                *                 2500       //Jewel of Bless
7182      0       0       *         *         *         *         *         *         *         0          *           *              26                *                 2000       //Jewel of Soul
7184      0       0       *         *         *         *         *         *         *         0          *           *              45                *                 1500       //Jewel of Life
7190      0       0       *         *         *         *         *         *         *         0          *           *              46                *                 1000       //Jewel of Creation
//--
7189      3       0       *         *         *         *         *         *         *         0          *           *              25                *                 2500       //Sign of the Lord
//--
6687      0       0       *         *         *         *         *         *         *         0          *           *              45                150               1000       //Spirit of Dark Horse
6687      1       0       *         *         *         *         *         *         *         0          *           *              75                150               1000       //Spirit of Dark Spirit
//--
6672      1       0       *         *         *         *         *         *         *         0          *           *              1                 32                1000       //Scroll of Archangel 1
6672      2       0       *         *         *         *         *         *         *         0          *           *              33                45                1000       //Scroll of Archangel 2
6672      3       0       *         *         *         *         *         *         *         0          *           *              46                57                1000       //Scroll of Archangel 3
6672      4       0       *         *         *         *         *         *         *         0          *           *              58                68                1000       //Scroll of Archangel 4
6672      5       0       *         *         *         *         *         *         *         0          *           *              69                76                1000       //Scroll of Archangel 5
6672      6       0       *         *         *         *         *         *         *         0          *           *              77                84                1000       //Scroll of Archangel 6
6672      7       0       *         *         *         *         *         *         *         0          *           *              85                101               1000       //Scroll of Archangel 7
6672      8       0       *         *         *         *         *         *         *         0          *           *              102               150               1000       //Scroll of Archangel 8
6673      1       0       *         *         *         *         *         *         *         0          *           *              1                 32                1000       //Blood Bone 1
6673      2       0       *         *         *         *         *         *         *         0          *           *              33                45                1000       //Blood Bone 2
6673      3       0       *         *         *         *         *         *         *         0          *           *              46                57                1000       //Blood Bone 3
6673      4       0       *         *         *         *         *         *         *         0          *           *              58                68                1000       //Blood Bone 4
6673      5       0       *         *         *         *         *         *         *         0          *           *              69                76                1000       //Blood Bone 5
6673      6       0       *         *         *         *         *         *         *         0          *           *              77                84                1000       //Blood Bone 6
6673      7       0       *         *         *         *         *         *         *         0          *           *              85                101               1000       //Blood Bone 7
6673      8       0       *         *         *         *         *         *         *         0          *           *              102               *                 1000       //Blood Bone 8
//--
